Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,3060.550049,3105.050049,3047.399902,3062.050049,2967.005371,559798
2020-01-23,3055.300049,3078.699951,3024.000000,3038.149902,2943.847412,426168
2020-01-24,3044.000000,3047.050049,3025.199951,3031.399902,2937.306396,272729
2020-01-27,3029.000000,3209.000000,2997.500000,3188.750000,3089.772705,4139808
2020-01-28,3190.000000,3249.949951,3157.750000,3189.149902,3090.160400,2302269
2020-01-29,3189.149902,3201.850098,3099.199951,3148.250000,3050.530029,1389203
2020-01-30,3152.300049,3170.000000,3118.550049,3154.850098,3056.925293,673260
2020-01-31,3155.250000,3191.850098,3102.100098,3114.500000,3017.827637,668235
2020-02-03,3124.000000,3173.000000,3117.149902,3144.149902,3046.557129,515242
2020-02-04,3154.000000,3277.600098,3152.050049,3241.850098,3141.224854,1029957
2020-02-05,3235.000000,3250.000000,3121.699951,3133.350098,3036.092529,956229
2020-02-06,3167.600098,3176.800049,3136.600098,3158.949951,3060.897949,492532
2020-02-07,3159.850098,3185.000000,3137.000000,3166.699951,3068.407227,535233
2020-02-10,3166.449951,3173.250000,3113.000000,3149.100098,3051.353516,295595
2020-02-11,3159.899902,3205.949951,3135.000000,3191.199951,3092.146729,612104
2020-02-12,3172.149902,3213.600098,3164.050049,3195.699951,3096.506836,568633
2020-02-13,3222.750000,3336.899902,3197.100098,3324.600098,3221.406250,1716864
2020-02-14,3305.199951,3333.000000,3277.000000,3304.300049,3201.736084,706686
2020-02-17,3325.800049,3342.050049,3287.199951,3295.550049,3193.257813,640661
2020-02-18,3288.000000,3288.000000,3233.250000,3251.350098,3150.429688,697366
2020-02-19,3258.000000,3298.800049,3258.000000,3278.149902,3176.397949,301821
2020-02-20,3289.300049,3364.949951,3240.050049,3255.300049,3154.257080,924466
2020-02-24,3257.000000,3257.000000,3166.350098,3176.300049,3077.709473,628617
2020-02-25,3182.000000,3182.300049,3056.350098,3086.899902,2991.083984,1001027
2020-02-26,3097.000000,3115.500000,3060.300049,3075.350098,2979.893066,762169
2020-02-27,3094.000000,3094.000000,3029.100098,3067.050049,2971.850342,935416
2020-02-28,3030.000000,3088.500000,2905.250000,2927.100098,2836.244385,1659956
2020-03-02,2961.000000,2997.250000,2876.000000,2905.550049,2815.363281,888866
2020-03-03,2940.000000,3078.000000,2931.250000,3043.699951,2949.225098,1056080
2020-03-04,3065.000000,3186.750000,3036.000000,3171.350098,3072.913086,1832722
2020-03-05,3171.000000,3231.949951,3166.199951,3184.449951,3085.606445,1045742
2020-03-06,3085.199951,3206.449951,3085.199951,3170.949951,3072.525391,1125892
2020-03-09,3158.750000,3189.000000,3026.050049,3061.250000,2966.230225,998528
2020-03-11,3070.000000,3083.899902,2983.000000,3000.600098,2907.462891,1169141
2020-03-12,2948.000000,2982.500000,2803.550049,2850.399902,2761.924805,777939
2020-03-13,2729.949951,3135.399902,2610.000000,2885.100098,2795.548096,986034
2020-03-16,2790.000000,2980.949951,2760.000000,2826.949951,2739.202637,943080
2020-03-17,2830.000000,2904.000000,2757.750000,2781.199951,2694.873047,936803
2020-03-18,2801.800049,2801.800049,2621.050049,2668.449951,2585.622559,873285
2020-03-19,2608.000000,2679.899902,2495.050049,2623.949951,2542.503906,967602
2020-03-20,2641.000000,2949.000000,2641.000000,2897.250000,2807.320801,1554571
2020-03-23,2680.250000,3047.000000,2680.250000,2768.399902,2682.470459,963234
2020-03-24,2850.000000,2960.000000,2801.100098,2857.949951,2769.240723,1068117
2020-03-25,2827.250000,2948.899902,2795.699951,2922.000000,2831.302490,819410
2020-03-26,2975.199951,3066.550049,2879.250000,2948.550049,2857.028564,638995
2020-03-27,2952.800049,3046.949951,2846.100098,2916.500000,2825.973389,801588
2020-03-30,2879.600098,3050.000000,2811.000000,2994.250000,2901.310303,1150459
2020-03-31,3050.000000,3152.000000,3032.050049,3120.750000,3023.883301,1002756
2020-04-01,3119.949951,3144.000000,3066.000000,3095.000000,2998.933105,711043
2020-04-03,3085.000000,3218.850098,3025.100098,3146.800049,3049.125000,1173673
2020-04-07,3250.000000,3615.600098,3210.000000,3583.199951,3471.979248,2367558
2020-04-08,3525.000000,3765.000000,3471.000000,3683.000000,3568.681396,2522295
2020-04-09,3740.000000,3810.000000,3593.199951,3621.550049,3509.139160,1960936
2020-04-13,3694.000000,3856.000000,3607.199951,3746.600098,3630.307617,2322389
2020-04-15,3825.000000,3893.600098,3776.000000,3807.600098,3689.414063,1725111
2020-04-16,3806.399902,3890.000000,3780.000000,3860.649902,3740.817383,1465859
2020-04-17,3970.000000,3997.899902,3823.600098,3929.550049,3807.578857,1814922
2020-04-20,3923.550049,3924.949951,3810.300049,3844.750000,3725.410645,1498791
2020-04-21,3835.000000,4047.800049,3822.050049,4016.399902,3891.732910,2847875
2020-04-22,3989.949951,4094.300049,3961.250000,4056.800049,3930.878906,1783426
2020-04-23,4031.000000,4086.000000,4009.250000,4027.100098,3902.100830,1025657
2020-04-24,4010.000000,4049.600098,3970.100098,4002.800049,3878.555176,1266154
2020-04-27,4002.800049,4065.100098,3955.050049,3980.300049,3856.753662,1124897
2020-04-28,4030.000000,4036.199951,3892.050049,3949.750000,3827.151611,861168
